taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002425,0.001258,0.001409,0.001185,0.000725,0.000452,0.001332,0.000112,0.000741
2000,0.008043,0.004752,0.005391,0.004752,0.002996,0.001880,0.001498,0.000212,0.003029
3000,0.018739,0.010906,0.012517,0.010451,0.006493,0.004000,0.001411,0.000320,0.006413
4000,0.031016,0.018900,0.021327,0.017774,0.010808,0.006985,0.001356,0.000428,0.011548
5000,0.048879,0.029482,0.034156,0.028151,0.017763,0.011315,0.001446,0.000562,0.018635
10000,0.200879,0.120125,0.135339,0.109242,0.066465,0.042669,0.001453,0.001145,0.069593
15000,0.459271,0.260516,0.367628,0.371274,0.215863,0.138984,0.002306,0.002572,0.231575
20000,1.215019,0.700176,0.884684,0.690876,0.385399,0.254526,0.002359,0.003505,0.406859
25000,2.074408,1.265893,1.642543,1.220690,0.600585,0.389793,0.002459,0.004339,0.645286
30000,3.232350,2.049775,2.407425,1.901281,0.905144,0.586407,0.002725,0.005577,0.917746
