taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002330,0.000699,0.000003,0.000003,0.000665,0.000003,0.000727,0.000048,0.001389
2000,0.005731,0.004498,0.000004,0.000006,0.002698,0.000006,0.000043,0.000100,0.006186
3000,0.015670,0.007925,0.000005,0.000009,0.007638,0.000010,0.001575,0.000155,0.014190
4000,0.024348,0.012049,0.000007,0.000011,0.010680,0.000032,0.001804,0.000207,0.022972
5000,0.037085,0.018467,0.000008,0.000020,0.016494,0.000014,0.001663,0.000262,0.034620
10000,0.168195,0.075957,0.000015,0.000028,0.077696,0.000027,0.000505,0.000543,0.138895
15000,0.328052,0.168235,0.000022,0.000059,0.210155,0.000056,0.002156,0.001192,0.448834
20000,0.883025,0.421310,0.000121,0.000097,0.383236,0.000088,0.001422,0.002204,0.818313
25000,1.356371,0.696415,0.000059,0.000098,0.607227,0.000094,0.009021,0.002965,1.260369
30000,1.916721,0.983254,0.000128,0.000117,0.889054,0.000113,0.009585,0.002463,1.871472
