taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002287,0.000711,0.000002,0.000003,0.000637,0.000004,0.000022,0.000052,0.000845
2000,0.005692,0.003228,0.000004,0.000007,0.002682,0.000009,0.000015,0.000105,0.002547
3000,0.013954,0.008310,0.000010,0.000009,0.006746,0.000013,0.000024,0.000197,0.005869
4000,0.024107,0.017496,0.000007,0.000014,0.010959,0.000016,0.000057,0.000287,0.010043
5000,0.036274,0.023266,0.000008,0.000014,0.017832,0.000016,0.000134,0.000341,0.021923
10000,0.151376,0.098709,0.000015,0.000028,0.070653,0.000041,0.000152,0.000548,0.061324
15000,0.328225,0.178879,0.000022,0.000059,0.228087,0.000057,0.000286,0.001342,0.213678
20000,0.848148,0.420288,0.000041,0.000080,0.402648,0.000102,0.000539,0.001920,0.323851
25000,1.323609,0.758080,0.000050,0.000097,0.611396,0.000111,0.000488,0.006792,0.544784
30000,1.888292,1.091882,0.000060,0.000139,0.873283,0.000116,0.000569,0.013025,0.817875
