taille,bulle_v1,bulle_v2,bulle_v3,cocktail,selection,insertion,comptage,fusion,rapide
1000,0.002655,0.001431,0.001732,0.001780,0.000703,0.000821,0.000008,0.000049,0.001376
2000,0.009204,0.006593,0.007491,0.006863,0.002826,0.004180,0.000014,0.000103,0.006611
3000,0.022442,0.014219,0.018339,0.016145,0.006666,0.008567,0.000019,0.000226,0.012850
4000,0.036278,0.024556,0.033837,0.030720,0.011531,0.019480,0.000027,0.000285,0.024629
5000,0.055440,0.043796,0.059418,0.052801,0.018119,0.024114,0.000038,0.000313,0.036714
10000,0.244661,0.189571,0.186837,0.183582,0.073066,0.087061,0.000084,0.000541,0.136549
15000,0.515311,0.332325,0.411627,0.564239,0.228845,0.278244,0.000149,0.001181,0.446461
20000,1.303265,0.852993,1.079965,1.040315,0.429996,0.526204,0.000287,0.001930,0.794466
25000,2.045169,1.413668,1.769217,1.634732,0.692311,0.772459,0.000263,0.003088,1.279533
30000,3.012027,2.073938,2.532388,2.236342,0.958663,1.157392,0.000268,0.002615,1.896496
